year,partner,exports,gdp,distance
2014,British Columbia,1756.9,259251,1904
2015,British Columbia,1789.3,264523,1904
2016,British Columbia,1778.2,271919,1904
2017,British Columbia,1922.6,282283,1904
2018,British Columbia,2007.5,292182,1904
2019,British Columbia,2352.7,299857,1904
2020,British Columbia,2156.7,290575,1904
2021,British Columbia,2368.7,312961,1904
2022,British Columbia,2765,328091,1904
2007,Yukon,24.2,2098,2635
2008,Yukon,28.5,2311,2635
2009,Yukon,22,2465,2635
2010,Yukon,26.8,2560,2635
2011,Yukon,28,2685,2635
2012,Yukon,31.6,2793,2635
2013,Yukon,28.4,2840,2635
2014,Yukon,25.4,2861,2635
2015,Yukon,25.2,2637,2635
2016,Yukon,26.8,2832,2635
2017,Yukon,28.6,2883,2635
2018,Yukon,38.2,2952,2635
2019,Yukon,35.7,2912,2635
2020,Yukon,34.3,2962,2635
2021,Yukon,43.3,3239,2635
2022,Yukon,50.5,3339,2635
2007,Northwest Territories,77.6,5556,1746
2008,Northwest Territories,82.6,5031,1746
2009,Northwest Territories,72.5,4492,1746
2010,Northwest Territories,68.6,4601,1746
2011,Northwest Territories,71.4,4187,1746
2012,Northwest Territories,69.4,4173,1746
2013,Northwest Territories,57.1,4295,1746
2014,Northwest Territories,65.7,4497,1746
2015,Northwest Territories,63.5,4539,1746
2016,Northwest Territories,62,4475,1746
2017,Northwest Territories,56.9,4628,1746
2018,Northwest Territories,57.8,4684,1746
2019,Northwest Territories,52.4,4502,1746
2020,Northwest Territories,42.7,4097,1746
2021,Northwest Territories,47.6,4238,1746
2022,Northwest Territories,55.5,4217,1746
2007,Nunavut,37.9,1740,2290
2008,Nunavut,49.2,1981,2290
2009,Nunavut,27.8,1849,2290
2010,Nunavut,27.7,2191,2290
2011,Nunavut,28.8,2310,2290
2012,Nunavut,29,2363,2290
2013,Nunavut,55.8,2589,2290
2014,Nunavut,45.2,2557,2290
2015,Nunavut,43.9,2549,2290
2016,Nunavut,50.3,2679,2290
2017,Nunavut,57.6,3032,2290
2018,Nunavut,69.9,3170,2290
2019,Nunavut,76.7,3416,2290
2020,Nunavut,63.2,3493,2290
2021,Nunavut,73.5,3724,2290
2022,Nunavut,67.9,3829,2290
