Name,Genre,ESRB_Rating,Platform,Publisher,Score,Sales,Year
Gangs of London,Adventure,M,PSP,Sony Computer Entertainment,5,0.96,2006
Sonic & SEGA All-Stars Racing,Racing,E,PS3,Sega,8,0.96,2010
Harvest Moon 3D: A New Beginning,Simulation,E,3DS,Natsume,8.2,0.95,2012
Sonic Unleashed,Platform,E10,X360,Sega,5.6,0.95,2008
LEGO Harry Potter: Years 5-7,Action,E10,PS3,Warner Bros. Interactive,9,0.95,2011
SpongeBob SquarePants: Battle for Bikini Bottom,Platform,E,GC,THQ,7.3,0.95,2003
Poker Night at the Inventory,Misc,,PC,Telltale Games,8,0.95,2010
Wild ARMs,Role-Playing,E,PS,Sony Computer Entertainment,8.9,0.95,1997
Red Steel,Shooter,T,Wii,Ubisoft,5.9,0.95,2006
Lost Planet 2,Shooter,T,PS3,Capcom,6.6,0.95,2010
Driver: San Francisco,Racing,T,PS3,Ubisoft,8.2,0.95,2011
White Knight Chronicles: International Edition,Role-Playing,T,PS3,Sony Computer Entertainment,6.3,0.95,2010
Disney Magic Castle: My Happy Life,Simulation,E,3DS,Nintendo,7.9,0.94,2014
Killzone,Shooter,M,PS2,Sony Computer Entertainment,6.8,0.94,2004
The SpongeBob SquarePants Movie,Platform,E,GC,THQ,6.6,0.94,2004
Skylanders: Spyro's Adventure,Action,E10,PS3,Activision,8,0.94,2011
Brutal Legend,Action,M,PS3,Electronic Arts,7.9,0.94,2009
Castlevania: Lament of Innocence,Action,M,PS2,Konami,8.1,0.94,2003
Brothers In Arms: Hell's Highway,Shooter,M,PS3,Ubisoft,6,0.94,2008
Tony Hawk: RIDE,Sports,E10,Wii,Activision,4.3,0.94,2009
SaGa Frontier 2,Role-Playing,T,PS,Square EA,7.4,0.94,2000
NCAA Football 10,Sports,E,X360,EA Sports,8.1,0.94,2009
EA Sports Active 2,Sports,E,PS3,Electronic Arts,8,0.94,2010
Prince of Persia: The Sands of Time,Adventure,T,XB,Ubisoft,9,0.94,2003
Sniper: Ghost Warrior,Shooter,M,PC,City Interactive,5.4,0.93,2010
Kingdom Hearts Re:coded,Role-Playing,E10,DS,Square Enix,6.8,0.93,2011
Guitar Hero: Metallica,Misc,T,Wii,Activision,8.9,0.93,2009
Fallout 76,Role-Playing,M,XOne,Bethesda Softworks,5.1,0.93,2018
Bayonetta,Action,M,X360,Sega,8.9,0.93,2010
Cars,Racing,E,GC,THQ,7.6,0.93,2006
Operation Flashpoint: Dragon Rising,Shooter,M,X360,Codemasters,7.4,0.93,2009
Monster Hunter: World,Action,T,XOne,Capcom,9.4,0.93,2018
NCAA Football 13,Sports,E,PS3,EA Sports,7.1,0.93,2012
Phoenix Wright: Ace Attorney,Adventure,T,DS,Capcom,8.1,0.93,2005
NCAA Football 11,Sports,E,X360,EA Sports,8.5,0.93,2010
007: The World is not Enough,Shooter,T,PS,Electronic Arts,6.4,0.92,2000
Overwatch,Shooter,T,PC,Blizzard Entertainment,9.5,0.92,2016
Dante's Inferno,Action,M,X360,Electronic Arts,7,0.92,2010
NCAA Football 14,Sports,E,PS3,EA Sports,7.7,0.92,2013
SpongeBob SquarePants: The Yellow Avenger,Action,E,PSP,THQ,5.7,0.92,2006
WWE SmackDown vs. Raw 2009,Fighting,T,X360,THQ,7.8,0.92,2008
Xenoblade Chronicles,Role-Playing,T,Wii,Nintendo,9.3,0.92,2012
Crysis 3,Shooter,M,X360,Electronic Arts,7.6,0.92,2013
Starsky & Hutch,Racing,T,PS2,Gotham Games,6,0.92,2003
Tobal No.1,Fighting,T,PS,Sony Computer Entertainment,7.7,0.92,1996
Blue Dragon,Role-Playing,T,X360,Microsoft Game Studios,7.7,0.92,2007
BUZZ! Quiz World,Misc,T,PS3,Sony Computer Entertainment,7.8,0.92,2009
EA Sports Grand Slam Tennis,Sports,E,Wii,EA Sports,7.9,0.92,2009
Dynasty Warriors 7,Action,T,PS3,Tecmo Koei,5.8,0.91,2011
Crysis 3,Shooter,M,PS3,Electronic Arts,8.2,0.91,2013
Tom Clancy's EndWar,Strategy,T,X360,Ubisoft,8,0.91,2008
Sonic Riders: Zero Gravity,Racing,E,Wii,Sega,5.8,0.91,2008
Colin McRae Rally 2.0,Racing,E,PS,Codemasters,8.3,0.91,2000
LEGO Pirates of the Caribbean: The Video Game,Action,E10,DS,Disney Interactive Studios,6.8,0.91,2011
Operation Flashpoint: Dragon Rising,Shooter,M,PS3,Codemasters,7.3,0.91,2009
Assassin's Creed,Adventure,M,PC,Ubisoft,7.6,0.91,2008
Homefront,Shooter,M,PS3,THQ,6.6,0.9,2011
Lost Odyssey,Role-Playing,T,X360,Microsoft Game Studios,7.5,0.9,2008
DJ Hero,Misc,T,PS3,Activision,8.5,0.9,2009
Marvel: Ultimate Alliance 2,Role-Playing,T,X360,Activision,7.4,0.9,2009
Cars 2,Racing,E10,Wii,Disney Interactive Studios,8,0.9,2011
Burnout Revenge,Racing,E10,PS2,Electronic Arts,9,0.9,2005
SOCOM 4: U.S. Navy SEALs,Shooter,M,PS3,Sony Computer Entertainment,7,0.9,2011
James Cameron's Avatar: The Game,Action,T,PS3,Ubisoft,5.8,0.9,2009
Killzone: Liberation,Shooter,T,PSP,Sony Computer Entertainment,7.8,0.9,2006
The Biggest Loser: Ultimate Workout,Sports,E,X360,THQ,8,0.9,2010
3Xtreme,Action,E,PS,989 Studios,2.9,0.9,1999
Resistance: Retribution,Shooter,M,PSP,Sony Computer Entertainment,8,0.9,2009
Spider-Man 3,Platform,T,PS2,Activision,4.4,0.9,2007
X-Men Legends,Role-Playing,T,XB,Activision,8.2,0.9,2004
Buzz! Master Quiz,Misc,E10,PSP,Sony Computer Entertainment,7,0.9,2008
Madagascar,Platform,E,GBA,Activision,5.5,0.89,2005
Blitz: The League,Sports,M,PS2,Midway Games,7.8,0.89,2005
Castlevania: Circle of the Moon,Platform,T,GBA,Konami,8.9,0.89,2001
Pure,Racing,E,PS3,Disney Interactive Studios,7,0.89,2008
Ni no Kuni II: Revenant Kingdom,Role-Playing,T,PS4,Namco Bandai Games,8.7,0.89,2018
Fire Emblem: The Sacred Stones,Strategy,E,GBA,Nintendo,8.4,0.89,2005
Metal Gear Solid V: Ground Zeroes,Action-Adventure,M,PC,Konami Digital Entertainment,8.5,0.89,2014
Ace Combat 2,Simulation,T,PS,Namco,8.5,0.89,1997
Dissidia 012: Duodecim Final Fantasy,Fighting,T,PSP,Square Enix,8.3,0.89,2011
Resident Evil: Revelations,Action,M,3DS,Capcom,7.8,0.89,2012
Call of Duty: World at War,Shooter,T,DS,Activision,7.4,0.89,2008
The Tomb Raider Trilogy,Action,T,PS3,Square Enix,8.5,0.89,2011
Assassin's Creed III,Action-Adventure,M,PC,Ubisoft,8.6,0.89,2012
Fossil Fighters,Role-Playing,E,DS,Nintendo,6.9,0.89,2009
Samba De Amigo,Misc,E,Wii,Sega,6.7,0.89,2008
Duke Nukem Forever,Shooter,M,PC,2K Games,4.6,0.89,2011
The Simpsons Game,Platform,T,PS3,Electronic Arts,7.5,0.89,2007
Buzz! Quiz TV,Misc,T,PS3,Sony Computer Entertainment,7.9,0.88,2008
F1 2010,Racing,E,X360,Codemasters,8.4,0.88,2010
Call of Juarez: Bound in Blood,Shooter,M,PS3,Ubisoft,7.7,0.88,2009
The Lord of the Rings: War in the North,Role-Playing,M,X360,Warner Bros. Interactive,6.6,0.88,2011
Call of Duty: Modern Warfare 2,Shooter,M,PC,Activision,9,0.88,2009
Sonic Chronicles: The Dark Brotherhood,Role-Playing,E,DS,Sega,7.3,0.88,2008
Rock Band 3,Misc,T,X360,MTV Games,9.4,0.88,2010
F1 2009,Racing,E,Wii,Codemasters,6.8,0.88,2009
WWE SmackDown vs. Raw 2011,Fighting,T,X360,THQ,7.1,0.88,2010
Metal Gear Ac!d,Strategy,M,PSP,Konami,7.4,0.87,2005
Michael Jackson: The Experience,Misc,E10,X360,Ubisoft,5.6,0.87,2011
Sleeping Dogs,Action-Adventure,M,X360,Square Enix,7.9,0.87,2012
Kingdom Hearts Re: Chain of Memories,Role-Playing,E10,PS2,Square Enix,7.2,0.87,2008
Super Bomberman R,Puzzle,E10,NS,Konami Digital Entertainment,6.3,0.87,2017
Paper Mario: Color Splash,Action-Adventure,E,WiiU,Nintendo,7.4,0.87,2016
Tony Hawk's Project 8,Sports,T,PS2,Activision,6.6,0.87,2006
Grand Theft Auto IV,Action,M,PC,Rockstar Games,9.2,0.87,2008
GRID,Racing,E,X360,Codemasters,8.7,0.87,2008
DiRT,Racing,E,X360,Codemasters,8.4,0.87,2007
Red Faction: Guerrilla,Shooter,M,X360,THQ,8.4,0.87,2009
Mario Party: Star Rush,Party,E,3DS,Nintendo,6.2,0.87,2016
Brothers In Arms: Hell's Highway,Shooter,M,X360,Ubisoft,7.6,0.87,2008
Vagrant Story,Role-Playing,T,PS,Square EA,9.3,0.87,2000
Mercenaries 2: World in Flames,Shooter,T,PS3,Electronic Arts,6,0.87,2008
Ghostbusters: The Video Game,Action,E10,Wii,Atari,7.6,0.87,2009
Endless Ocean: Blue World,Simulation,E10,Wii,Nintendo,7.6,0.87,2010
Wii Fit U,Misc,E,WiiU,Nintendo,7.2,0.86,2014
Tales of the Abyss,Role-Playing,T,3DS,Namco Bandai,7.3,0.86,2012
Lemmings,Puzzle,E,PSP,Sony Computer Entertainment,7.3,0.86,2006
Winning Eleven: Pro Evolution Soccer 2007,Sports,E,PSP,Konami,8.2,0.86,2007
Rise of Nations,Strategy,T,PC,Microsoft Game Studios,8.8,0.86,2003
Guitar Hero: Warriors of Rock,Misc,T,X360,Activision,7.1,0.86,2010
Bayonetta 2,Action,M,WiiU,Nintendo,9.3,0.86,2014
Mafia III,Action-Adventure,M,PC,2K Games,6.5,0.86,2016
Tomb Raider: Anniversary,Action,T,Wii,Eidos Interactive,6.8,0.85,2007
2010 FIFA World Cup South Africa,Sports,E,X360,EA Sports,8.4,0.85,2010
Ninja Gaiden Sigma 2,Action,M,PS3,Tecmo Koei,8.5,0.85,2009
Street Fighter Alpha 2,Fighting,T,PS,Capcom,8.2,0.85,1996
Dragon Ball Z: Burst Limit,Fighting,T,PS3,Atari,7.3,0.85,2008
Army of Two: The 40th Day,Shooter,M,PS3,Electronic Arts,7.1,0.85,2010
The Legendary Starfy,Platform,E,DS,Nintendo,7.1,0.85,2009
Burnout Legends,Racing,E10,PSP,Electronic Arts,8.4,0.85,2005
NCAA Football 11,Sports,E,PS3,EA Sports,8.5,0.85,2010
Ratatouille,Platform,E,PS2,THQ,6,0.85,2007
The House of the Dead: Overkill,Shooter,M,Wii,Sega,7.9,0.85,2009
Darksiders II,Action-Adventure,M,PS3,THQ,8.3,0.85,2012
Ghostbusters: The Video Game,Action,T,PS3,Atari,7.8,0.84,2009
Spider-Man 2,Action,T,GC,Activision,7.7,0.84,2004
Sniper Elite V2,Shooter,M,X360,505 Games,7,0.84,2012
Xenoblade Chronicles X,Role-Playing,T,WiiU,Nintendo,8.1,0.84,2015
NBA 2K10,Sports,E,PS3,2K Sports,8.2,0.84,2009
The Incredibles,Action,T,GC,THQ,6.2,0.84,2004
Skate 2,Sports,T,PS3,Electronic Arts,8.2,0.84,2009
ZombiU,Action,M,WiiU,Ubisoft,6.9,0.84,2012
Rogue Galaxy,Role-Playing,T,PS2,Sony Computer Entertainment,8.3,0.84,2007
MLB 13: The Show,Sports,E,PS3,Sony Computer Entertainment,8.5,0.84,2013
Blazing Angels: Squadrons of WWII,Simulation,T,Wii,Ubisoft,4.7,0.84,2007
Metroid: Zero Mission,Adventure,E,GBA,Nintendo,8.9,0.84,2004
NCAA Football 12,Sports,E,PS3,EA Sports,7.7,0.83,2011
Madden NFL 25,Sports,E,XOne,EA Sports,7.1,0.83,2013
DJ Hero 2,Misc,T,X360,Activision,8.5,0.83,2010
Call of Duty: Modern Warfare 3,Shooter,M,Wii,Activision,4.5,0.83,2011
Ace Combat 3: Electrosphere,Simulation,E,PS,Namco,7.6,0.83,2000
Time Crisis 4,Shooter,T,PS3,Namco Bandai,6.1,0.83,2007
Need for Speed: Nitro,Racing,E10,Wii,Electronic Arts,7,0.83,2009
Duke Nukem Forever,Shooter,M,X360,2K Games,4.3,0.83,2011
Madden NFL 07,Sports,E,PSP,EA Sports,8.3,0.83,2006
Stranglehold,Shooter,M,X360,Midway Games,8,0.83,2007
Tiger Woods PGA Tour 11,Sports,E,PS3,EA Sports,7.9,0.83,2010
Dragon Age II,Role-Playing,M,PS3,Electronic Arts,7.7,0.83,2011
WWE SmackDown vs. Raw 2009,Fighting,T,Wii,THQ,8.2,0.83,2008
Rayman Origins,Platform,E10,Wii,Ubisoft,9.5,0.83,2011
Sniper: Ghost Warrior,Shooter,M,PS3,City Interactive,4.5,0.83,2011
Yu-Gi-Oh! Dark Duel Stories,Misc,E,GB,Konami,6.2,0.83,2002
Dragon Ball: Raging Blast 2,Fighting,T,PS3,Namco Bandai,6,0.83,2010
Twisted Metal (2012),Action,M,PS3,Sony Computer Entertainment,7.9,0.83,2012
Sid Meier's Civilization Revolution,Strategy,E10,X360,2K Games,8.4,0.83,2008
Casper,Adventure,E,PS,Interplay,4.9,0.83,1996
Tony Hawk's Underground 2 Remix,Sports,T,PSP,Activision,8.5,0.82,2005
Marvel: Ultimate Alliance,Role-Playing,T,PS2,Activision,8.1,0.82,2006
Tony Hawk's Pro Skater 3,Sports,T,GC,Activision,9.1,0.82,2001
Need for Speed: Hot Pursuit 2,Racing,E,XB,Electronic Arts,8.2,0.82,2002
MediEvil: Resurrection,Adventure,T,PSP,Sony Computer Entertainment,6.5,0.82,2005
The Lord of the Rings: War in the North,Role-Playing,M,PS3,Warner Bros. Interactive,6.5,0.82,2011
Patapon,Platform,E,PSP,Sony Computer Entertainment,8.7,0.82,2008
The Crew 2,Racing,T,PS4,Ubisoft,6.5,0.82,2018
Shin Megami Tensei: Persona 4,Role-Playing,M,PS2,Atlus,9.2,0.82,2008
Professor Layton vs Ace Attorney,Adventure,T,3DS,Nintendo,8.1,0.82,2014
Ready 2 Rumble Boxing: Round 2,Fighting,T,PS2,Midway Games,7.9,0.81,2000
Tales of Destiny II,Role-Playing,T,PS,Namco,7.5,0.81,2001
The Legend of Zelda: Four Swords Adventures,Adventure,E,GC,Nintendo,8.4,0.81,2004
Valkyrie Profile,Role-Playing,T,PS,Enix,8.1,0.81,2000
Shaun White Snowboarding,Sports,T,X360,Ubisoft,6.2,0.81,2008
Madden NFL 16,Sports,E,PS3,EA Sports,8,0.81,2015
Army Men: Sarge's Heroes,Shooter,T,N64,3DO,4.2,0.81,1999
Empire: Total War,Strategy,T,PC,Sega,8.9,0.81,2009
Pro Evolution Soccer 2010,Sports,E,X360,Konami,7,0.81,2009
NCAA Football 10,Sports,E,PS3,EA Sports,8.1,0.81,2009
Professor Layton and the Azran Legacy,Puzzle,E10,3DS,Nintendo,8,0.81,2014
Golden Sun: Dark Dawn,Role-Playing,E10,DS,Nintendo,8,0.81,2010
Star Wars Rogue Squadron III: Rebel Strike,Simulation,T,GC,LucasArts,8.3,0.8,2003
Final Fantasy Anthology,Role-Playing,T,PS,Square EA,8.6,0.8,1999
DiRT 2,Racing,T,X360,Codemasters,8.8,0.8,2009
Star Wars The Clone Wars: Republic Heroes,Action,T,Wii,LucasArts,4.8,0.8,2009
The Sims 2: Pets,Simulation,T,PSP,Electronic Arts,5.8,0.8,2006
Tom Clancy's Ghost Recon Advanced Warfighter,Shooter,T,X360,Ubisoft,9.1,0.8,2006
Mario & Sonic at the Sochi 2014 Olympic Winter Games,Sports,E,WiiU,Nintendo,5.9,0.8,2013
Rhythm Heaven Megamix,Music,E,3DS,Nintendo,8.8,0.8,2016
Guitar Hero: Metallica,Misc,T,X360,Activision,8.5,0.8,2009
The Amazing Spider-Man (2012),Action-Adventure,T,PS3,Activision,7.3,0.8,2012
Need for Speed: Hot Pursuit 2,Racing,E,GC,Electronic Arts,7.5,0.8,2002
PES 2009: Pro Evolution Soccer,Sports,E,PSP,Konami,7.3,0.8,2008
Invizimals,Strategy,E10,PSP,Sony Computer Entertainment,6.6,0.79,2010
Ridge Racer,Racing,E,PS,Namco,9,0.79,1995
Dead Island: Riptide,Misc,M,X360,Deep Silver,5.6,0.79,2013
Harvest Moon: A Wonderful Life,Role-Playing,E,GC,Natsume,8.2,0.79,2004
Darksiders II,Action-Adventure,M,X360,THQ,8.6,0.79,2012
Band Hero,Misc,E10,X360,Activision,7.6,0.79,2009
Football Manager 2014,Sports,,PC,Sega,8.4,0.79,2013
The Godfather II,Adventure,M,X360,Electronic Arts,6.2,0.79,2009
Star Ocean: The Last Hope,Role-Playing,T,X360,Square Enix,7.3,0.79,2009
Red Faction: Armageddon,Shooter,M,PC,THQ,7.3,0.79,2011
MadWorld,Action,M,Wii,Sega,8.1,0.78,2009
Tiger Woods PGA Tour 10,Sports,E,PS3,EA Sports,8.4,0.78,2009
Too Human,Role-Playing,T,X360,Microsoft Game Studios,6.5,0.78,2008
Fight Night Champion,Fighting,M,X360,EA Sports,8.4,0.78,2011
DJ Hero 2,Misc,T,PS3,Activision,8.4,0.78,2010
The World Ends With You,Role-Playing,T,DS,Square Enix,8.6,0.78,2008
Star Wars: The Force Unleashed II,Action,T,Wii,LucasArts,7.5,0.78,2010
Naruto Shippuden: Ultimate Ninja Storm 2,Fighting,T,X360,Namco Bandai,7.6,0.78,2010
Tom Clancy's Splinter Cell: Double Agent,Action,M,X360,Ubisoft,8.5,0.78,2006
DJ Hero,Misc,T,Wii,Activision,8.6,0.78,2009
Sid Meier's Civilization Revolution,Strategy,E10,PS3,2K Games,8.4,0.78,2008
Rayman Origins,Platform,E10,X360,Ubisoft,9,0.78,2011
Goldeneye 007: Reloaded,Shooter,T,PS3,Activision,7.4,0.78,2011
Need for Speed: ProStreet,Racing,E,PSP,Electronic Arts,5.6,0.78,2008
NBA 2K7,Sports,E,PS2,2K Sports,8.2,0.78,2006
James Bond 007: Nightfire,Shooter,T,GC,Electronic Arts,8.1,0.78,2002
Worms: Open Warfare,Strategy,E10,PSP,THQ,6.9,0.77,2006
Lips,Misc,T,X360,Microsoft Game Studios,7.1,0.77,2008
Andretti Racing,Racing,E,PS,EA Sports,7.3,0.77,1996
UFC Personal Trainer: The Ultimate Fitness System,Sports,E,X360,THQ,6,0.77,2011
Perfect Dark Zero,Shooter,M,X360,Microsoft Game Studios,8.1,0.77,2005
Ghost Squad,Shooter,T,Wii,Sega,7,0.77,2007
Star Wars Battlefront: Elite Squadron,Shooter,T,PSP,LucasArts,6,0.77,2009
James Cameron's Avatar: The Game,Action,T,X360,Ubisoft,6,0.77,2009
Conker's Bad Fur Day,Platform,M,N64,Rare,9.2,0.77,2001
The Sims 3,Simulation,T,3DS,Electronic Arts,5.6,0.77,2011
Twisted Metal: Head On,Action,T,PSP,Sony Computer Entertainment,7.5,0.77,2005
Dragon Ball: Raging Blast,Fighting,T,PS3,Namco Bandai,5.6,0.77,2009
Need for Speed: Undercover,Racing,T,PSP,Electronic Arts,5.4,0.77,2008
Maximo: Ghosts to Glory,Platform,T,PS2,Capcom,8.7,0.77,2002
Donkey Kong Country 3,Platform,E,GBA,Nintendo,7.5,0.77,2005
Unlimited Saga,Role-Playing,T,PS2,Square Enix,4.9,0.77,2003
Pokemon Dash,Racing,E,DS,Nintendo,5.3,0.77,2005
Sonic & SEGA All-Stars Racing with Banjo-Kazooie,Racing,E,X360,Sega,7.7,0.77,2010
Sonic Unleashed,Platform,E10,PS2,Sega,7,0.76,2008
Resident Evil: Revelations,Action,M,PS3,Capcom,7.6,0.76,2013
VVVVVV,Platform,,PC,Terry Cavanagh,7.8,0.76,2010
Banjo-Kazooie: Nuts & Bolts,Platform,E10,X360,Microsoft Game Studios,8,0.76,2008
Band Hero,Misc,E10,PS3,Activision,7.6,0.76,2009
Duke Nukem Forever,Shooter,M,PS3,2K Games,4.4,0.76,2011
Tony Hawk's Pro Skater 2,Sports,E,N64,Activision,8.5,0.76,2001
Toy Story 3: The Video Game,Action,E10,X360,Disney Interactive Studios,7.5,0.76,2010
Just Dance 2018,Music,E10,NS,Ubisoft,8,0.76,2017
PokePark 2: Wonders Beyond,Action-Adventure,E,Wii,Nintendo,6.5,0.76,2012
Mortal Kombat: Deception,Fighting,M,XB,Midway Games,7.4,0.76,2004
Marvel vs. Capcom 2,Fighting,T,PS2,Capcom,8.2,0.76,2002
Harry Potter and the Half-Blood Prince,Action,E10,Wii,Electronic Arts,6,0.76,2009
Lost Planet 2,Shooter,T,X360,Capcom,6.5,0.76,2010
Kane & Lynch: Dead Men,Shooter,M,X360,Eidos Interactive,6.8,0.76,2007
Final Fantasy Legend III,Role-Playing,,GB,Square,7,0.76,1993
Wall-E,Platform,E,PS2,THQ,7.5,0.75,2008
LEGO City Undercover,Platform,E10,PS4,Warner Bros. Interactive Entertainment,8,0.75,2017
Genji: Days of the Blade,Action,T,PS3,Sony Computer Entertainment,5,0.75,2006
Drawn to Life: The Next Chapter,Puzzle,E,Wii,THQ,5.8,0.75,2009
Fire Emblem Echoes: Shadows of Valentia,Role-Playing,T,3DS,Nintendo,8.3,0.75,2017
Rockstar Games presents Table Tennis,Sports,E,X360,Rockstar Games,8.1,0.75,2006
WWE SmackDown vs. Raw 2009,Fighting,T,PSP,THQ,7.9,0.75,2008
Disney Infinity 2.0: Marvel Super Heroes,Action-Adventure,E10,PS4,Disney Interactive Studios,8,0.75,2014
Kane & Lynch: Dead Men,Shooter,M,PS3,Eidos Interactive,6.8,0.75,2007
Super Street Fighter IV,Fighting,T,X360,Capcom,9.2,0.75,2010
Zone of the Enders,Simulation,M,PS2,Konami,7.5,0.75,2001
Coded Arms,Shooter,T,PSP,Konami,6.1,0.75,2005
FIFA 19,Sports,E,NS,Electronic Arts,5.9,0.75,2018
Madden NFL 06,Sports,E,PSP,EA Sports,7.9,0.75,2005
Capcom vs. SNK 2: Mark of the Millennium 2001,Fighting,T,PS2,Capcom,7.9,0.75,2001
Tom Clancy's Rainbow Six: Vegas,Shooter,T,PSP,Ubisoft,5.8,0.75,2007
Final Fantasy Tactics A2: Grimoire of the Rift,Role-Playing,E10,DS,Square Enix,8.1,0.75,2008
The Lord of the Rings: Conquest,Action,T,PS3,Electronic Arts,5.8,0.75,2009
Spectrobes,Role-Playing,E,DS,Disney Interactive Studios,6.2,0.75,2007
Turok,Shooter,M,X360,Touchstone,6.6,0.75,2008
Baldur's Gate,Role-Playing,T,PC,Interplay,9.2,0.75,1998
Mortal Kombat: Unchained,Fighting,M,PSP,Midway Games,7,0.74,2006
Ace Combat: Assault Horizon,Action,T,PS3,Namco Bandai,7.5,0.74,2011
The Godfather II,Adventure,M,PS3,Electronic Arts,6.4,0.74,2009
Sega Superstars Tennis,Sports,E,DS,Sega,6.2,0.74,2008
Red Faction: Guerrilla,Shooter,M,PS3,THQ,8.6,0.74,2009
The Evil Within,Misc,M,PC,Bethesda Softworks,5.5,0.74,2014
Super Street Fighter IV: Arcade Edition,Fighting,T,PS3,Capcom,8.1,0.74,2011
X-Men Origins: Wolverine - Uncaged Edition,Action,M,PS3,Activision,7,0.74,2009
Need for Speed (2015),Racing,T,XOne,Electronic Arts,6.7,0.74,2015
Tales of Vesperia,Role-Playing,T,X360,Namco Bandai,8.1,0.74,2008
Resonance of Fate,Role-Playing,T,PS3,Sega,7.5,0.74,2010
Sonic Forces,Platform,E10,NS,Sega,5.4,0.74,2017
The Amazing Spider-Man (2012),Action-Adventure,T,X360,Activision,6.8,0.74,2012
Marvel: Ultimate Alliance 2,Role-Playing,T,PS3,Activision,7.8,0.74,2009
Brink,Shooter,T,PS3,Bethesda Softworks,7.1,0.73,2011
Crysis 2,Shooter,M,PC,Electronic Arts,8.7,0.73,2011
MLB 10: The Show,Sports,E,PS3,Sony Computer Entertainment,8.6,0.73,2010
WWE SmackDown vs. Raw 2010,Fighting,T,Wii,THQ,7.8,0.73,2009
Need for Speed: Payback,Racing,T,XOne,Electronic Arts,5.9,0.73,2017
Croc 2,Platform,E,PS,Fox Interactive,6.5,0.73,1999
NHL 11,Sports,E10,X360,EA Sports,8.8,0.73,2010
MLB 14 The Show,Sports,E,PS4,Sony Computer Entertainment,8.3,0.73,2014
Madden NFL 11,Sports,E,Wii,EA Sports,6.8,0.73,2010
NCAA Football 07,Sports,E,X360,Electronic Arts,8,0.73,2006
Star Ocean: The Last Hope International,Role-Playing,T,PS3,Square Enix,8.1,0.73,2010
Katamari Damacy,Puzzle,E,PS2,Namco,8.5,0.73,2004
James Bond 007: Agent Under Fire,Shooter,T,GC,Electronic Arts,7.5,0.72,2002
Indiana Jones and the Staff of Kings,Action,T,Wii,LucasArts,5.1,0.72,2009
XCOM: Enemy Unknown,Strategy,M,PC,2K Games,9,0.72,2012
Monster Hunter Generations Ultimate,Action,T,NS,Capcom,7.7,0.72,2018
Rabbids Go Home,Platform,E,DS,Ubisoft,8.8,0.72,2009
MLB 09: The Show,Sports,E,PS3,Sony Computer Entertainment,8.9,0.72,2009
Tiger Woods PGA Tour 07,Sports,E,PS2,EA Sports,7.8,0.72,2006
Yakuza 2,Adventure,M,PS2,Sega,7.9,0.72,2008
Kirby: Canvas Curse,Platform,E,DS,Nintendo,8.9,0.72,2005
Madden NFL 10,Sports,E,Wii,EA Sports,7.5,0.72,2009
Blur,Racing,E10,PS3,Activision,8.3,0.72,2010
James Cameron's Avatar: The Game,Action,T,Wii,Ubisoft,5.9,0.72,2009
Battlefield: Bad Company 2,Shooter,M,PC,Electronic Arts,8.8,0.72,2010
F1 2011,Racing,E,X360,Codemasters,8.5,0.72,2011
Mx vs. ATV Reflex,Racing,E,X360,THQ,7.4,0.72,2009
Mortal Kombat (2011),Fighting,M,PSV,Warner Bros. Interactive Entertainment,8.8,0.71,2012
DiRT 3,Racing,T,X360,Codemasters,9.1,0.71,2011
Virtua Fighter 4: Evolution,Fighting,T,PS2,Sega,8.9,0.71,2003
Risen 2: Dark Waters,Role-Playing,M,PC,Deep Silver,6.6,0.71,2012
Astro Bot Rescue Mission,Platform,E10,PS4,Sony Interactive Entertainment,8.5,0.71,2018
Godzilla: Destroy All Monsters Melee,Fighting,T,GC,Atari,7.5,0.71,2002
Conker: Live And Reloaded,Action-Adventure,M,XB,Microsoft Game Studios,8.1,0.71,2005
Silent Hill 3,Adventure,M,PS2,Konami,8.4,0.71,2003
God of War: Origins Collection,Action,M,PS3,Sony Computer Entertainment,8.6,0.71,2011
Yu-Gi-Oh! The Falsebound Kingdom,Strategy,E,GC,Konami,4.4,0.71,2003
The LEGO Movie Videogame,Action-Adventure,E10,PS4,Warner Bros. Interactive Entertainment,6,0.71,2014
Madden NFL 08,Sports,E,PSP,EA Sports,7.3,0.71,2007
Spyro: Enter the Dragonfly,Platform,E,GC,VU Games,5,0.71,2002
Blast Corps,Action,E,N64,Nintendo,9.1,0.71,1997
Madden NFL 09,Sports,E,PSP,EA Sports,6.9,0.71,2008
Monster Hunter 3 Ultimate,Role-Playing,,WiiU,Capcom,8.7,0.71,2013
DEFCON: Everybody Dies,Strategy,T,PC,Encore,8.2,0.71,2007
LEGO Harry Potter: Years 1-4,Adventure,E10,PSP,Warner Bros. Interactive,7.5,0.71,2010
South Park,Shooter,M,PS,Acclaim Entertainment,1.7,0.71,1999
Catherine,Puzzle,M,PS3,Atlus,7.9,0.71,2011
Doom 3: Resurrection of Evil,Shooter,M,XB,Activision,8.2,0.71,2005
Plants vs Zombies: Garden Warfare,Shooter,E10,XOne,Electronic Arts,7.6,0.71,2014
Resident Evil 4,Action,M,PC,Ubisoft,8,0.7,2007
Spider-Man 2,Action,T,PSP,Activision,6.4,0.7,2005
Ace Attorney Investigations: Miles Edgeworth,Adventure,T,DS,Capcom,7.7,0.7,2010
Tony Hawk's Underground,Sports,T,GC,Activision,9,0.7,2003
